Date,OMRXTBILL90
3/3/2015,358.14
3/4/2015,358.13
3/5/2015,358.13
3/6/2015,358.12
3/9/2015,358.13
3/10/2015,358.13
3/11/2015,358.13
3/12/2015,358.13
3/13/2015,358.13
3/16/2015,358.13
3/17/2015,358.14
3/18/2015,358.25
3/19/2015,358.23
3/20/2015,358.24
3/23/2015,358.23
3/24/2015,358.23
3/25/2015,358.22
3/26/2015,358.21
3/27/2015,358.22
3/30/2015,358.22
3/31/2015,358.21
4/1/2015,358.2
4/2/2015,358.19
4/7/2015,358.19
4/8/2015,358.19
4/9/2015,358.19
4/10/2015,358.18
4/13/2015,358.19
4/14/2015,358.19
4/15/2015,358.17
4/16/2015,358.17
4/17/2015,358.18
4/20/2015,358.18
4/21/2015,358.17
4/22/2015,358.18
4/23/2015,358.17
4/24/2015,358.17
4/27/2015,358.16
4/28/2015,358.18
4/29/2015,358.13
4/30/2015,358.15
5/4/2015,358.14
5/5/2015,358.14
5/6/2015,358.14
5/7/2015,358.12
5/8/2015,358.12
5/11/2015,358.11
5/12/2015,358.12
5/13/2015,358.1
5/15/2015,358.1
5/18/2015,358.1
5/19/2015,358.11
5/20/2015,358.09
5/21/2015,358.08
5/22/2015,358.1
5/25/2015,358.08
5/26/2015,358.09
5/27/2015,358.1
5/28/2015,358.08
5/29/2015,358.07
6/1/2015,358.07
6/2/2015,358.07
6/3/2015,358.06
6/4/2015,358.05
6/5/2015,358.05
6/8/2015,358.04
6/9/2015,358.04
6/10/2015,358.05
6/11/2015,358.05
6/12/2015,358.05
6/15/2015,358.05
6/16/2015,358.04
6/17/2015,358.03
6/18/2015,358.03
6/22/2015,358.03
6/23/2015,358.02
6/24/2015,358.03
6/25/2015,358.02
6/26/2015,358.02
6/29/2015,358.03
6/30/2015,358.04
7/1/2015,358.03
7/2/2015,358.12
7/3/2015,358.11
7/6/2015,358.11
7/7/2015,358.1
7/8/2015,358.09
7/9/2015,358.08
7/10/2015,358.07
7/13/2015,358.07
7/14/2015,358.07
7/15/2015,358.05
7/16/2015,358.04
7/17/2015,358.04
7/20/2015,358.03
7/21/2015,358.02
7/22/2015,358.01
7/23/2015,358
7/24/2015,357.99
7/27/2015,357.98
7/28/2015,357.97
7/29/2015,357.97
7/30/2015,357.94
7/31/2015,357.94
8/3/2015,357.93
8/4/2015,357.93
8/5/2015,357.92
8/6/2015,357.92
8/7/2015,357.92
8/10/2015,357.91
8/11/2015,357.91
8/12/2015,357.9
8/13/2015,357.88
8/14/2015,357.87
8/17/2015,357.86
8/18/2015,357.86
8/19/2015,357.85
8/20/2015,357.84
8/21/2015,357.84
8/24/2015,357.85
8/25/2015,357.83
8/26/2015,357.83
8/27/2015,357.82
8/28/2015,357.8
8/31/2015,357.81
9/1/2015,357.79
9/2/2015,357.79
9/3/2015,357.76
9/4/2015,357.77
9/7/2015,357.75
9/8/2015,357.76
9/9/2015,357.75
9/10/2015,357.74
9/11/2015,357.74
9/14/2015,357.74
9/15/2015,357.73
9/16/2015,357.72
9/17/2015,357.72
9/18/2015,357.71
9/21/2015,357.7
9/22/2015,357.7
9/23/2015,357.69
9/24/2015,357.68
9/25/2015,357.67
9/28/2015,357.67
9/29/2015,357.66
9/30/2015,357.66
10/1/2015,357.64
10/2/2015,357.64
10/5/2015,357.58
10/6/2015,357.59
10/7/2015,357.56
10/8/2015,357.54
10/9/2015,357.54
10/12/2015,357.51
10/13/2015,357.5
10/14/2015,357.49
10/15/2015,357.47
10/16/2015,357.46
10/19/2015,357.45
10/20/2015,357.49
10/21/2015,357.47
10/22/2015,357.45
10/23/2015,357.45
10/26/2015,357.43
10/27/2015,357.41
10/28/2015,357.41
10/29/2015,357.4
10/30/2015,357.39
11/2/2015,357.39
11/3/2015,357.41
11/4/2015,357.43
11/5/2015,357.41
11/6/2015,357.41
11/9/2015,357.41
11/10/2015,357.4
11/11/2015,357.4
11/12/2015,357.39
11/13/2015,357.38
11/16/2015,357.38
11/17/2015,357.37
11/18/2015,357.35
11/19/2015,357.36
11/20/2015,357.35
11/23/2015,357.35
11/24/2015,357.34
11/25/2015,357.34
11/26/2015,357.33
11/27/2015,357.33
11/30/2015,357.33
12/1/2015,357.33
12/2/2015,357.32
12/3/2015,357.3
12/4/2015,357.3
12/7/2015,357.29
12/8/2015,357.29
12/9/2015,357.28
12/10/2015,357.26
12/11/2015,357.26
12/14/2015,357.25
12/15/2015,357.25
12/16/2015,357.27
12/17/2015,357.25
12/18/2015,357.25
12/21/2015,357.24
12/22/2015,357.23
12/23/2015,357.22
12/28/2015,357.24
12/29/2015,357.21
12/30/2015,357.21
1/4/2016,357.2
1/5/2016,357.19
1/7/2016,357.18
1/8/2016,357.17
1/11/2016,357.17
1/12/2016,357.16
1/13/2016,357.16
1/14/2016,357.15
1/15/2016,357.14
1/18/2016,357.14
1/19/2016,357.13
1/20/2016,357.13
1/21/2016,357.11
1/22/2016,357.11
1/25/2016,357.1
1/26/2016,357.1
1/27/2016,357.09
1/28/2016,357.08
1/29/2016,357.07
2/1/2016,357.07
2/2/2016,357.06
2/3/2016,357.06
2/4/2016,357.04
2/5/2016,357.04
2/8/2016,357.03
2/9/2016,357.03
2/10/2016,357.02
2/11/2016,357.07
2/12/2016,357.07
2/15/2016,357.06
2/16/2016,357.06
2/17/2016,357.05
2/18/2016,357.03
2/19/2016,357.03
2/22/2016,357.02
2/23/2016,357.02
2/24/2016,357.01
2/25/2016,356.99
2/26/2016,356.99
2/29/2016,356.98
3/1/2016,357.01
3/2/2016,357
3/3/2016,356.98
3/4/2016,356.98
3/7/2016,356.97
3/8/2016,356.97
3/9/2016,356.98
3/10/2016,356.96
3/11/2016,356.95
3/14/2016,356.95
3/15/2016,356.94
3/16/2016,356.94
3/17/2016,356.93
3/18/2016,356.91
3/21/2016,356.92
3/22/2016,356.9
3/23/2016,356.89
3/24/2016,356.88
3/29/2016,356.88
3/30/2016,356.87
3/31/2016,356.85
4/1/2016,356.85
4/4/2016,356.85
4/5/2016,356.84
4/6/2016,356.83
4/7/2016,356.81
4/8/2016,356.81
4/11/2016,356.8
4/12/2016,356.79
4/13/2016,356.78
4/14/2016,356.77
4/15/2016,356.76
4/18/2016,356.76
4/19/2016,356.75
4/20/2016,356.73
4/21/2016,356.71
4/22/2016,356.71
4/25/2016,356.7
4/26/2016,356.7
4/27/2016,356.69
4/28/2016,356.67
4/29/2016,356.66
5/2/2016,356.66
5/3/2016,356.64
5/4/2016,356.62
5/6/2016,356.61
5/9/2016,356.61
5/10/2016,356.61
5/11/2016,356.6
5/12/2016,356.58
5/13/2016,356.57
5/16/2016,356.57
5/17/2016,356.56
5/18/2016,356.55
5/19/2016,356.53
5/20/2016,356.53
5/23/2016,356.52
5/24/2016,356.51
5/25/2016,356.51
