Date,BBBY
3/3/2015,74.84
3/4/2015,74.36
3/5/2015,74.39
3/6/2015,73.66
3/9/2015,74.83
3/10/2015,73.97
3/11/2015,73.89
3/12/2015,74.97
3/13/2015,75.05
3/16/2015,76.78
3/17/2015,76.14
3/18/2015,75.87
3/19/2015,75.61
3/20/2015,74.87
3/23/2015,75.31
3/24/2015,75.37
3/25/2015,75.02
3/26/2015,73.78
3/27/2015,75.46
3/30/2015,76.43
3/31/2015,76.78
4/1/2015,76.33
4/2/2015,76.8
4/6/2015,77.49
4/7/2015,76.7
4/8/2015,77.68
4/9/2015,73.46
4/10/2015,73.43
4/13/2015,73.2
4/14/2015,73.38
4/15/2015,73.02
4/16/2015,72.62
4/17/2015,71.46
4/20/2015,72.31
4/21/2015,72.49
4/22/2015,72.38
4/23/2015,72.8
4/24/2015,72.53
4/27/2015,71.05
4/28/2015,71.19
4/29/2015,70.97
4/30/2015,70.46
5/1/2015,71.41
5/4/2015,72.01
5/5/2015,71.06
5/6/2015,70.49
5/7/2015,70.6
5/8/2015,71.44
5/11/2015,70.3
5/12/2015,70.14
5/13/2015,69.76
5/14/2015,69.65
5/15/2015,73.35
5/18/2015,73.77
5/19/2015,72.97
5/20/2015,71.44
5/21/2015,71.69
5/22/2015,71.76
5/26/2015,70.67
5/27/2015,71.15
5/28/2015,71.76
5/29/2015,71.32
6/1/2015,71.53
6/2/2015,71.07
6/3/2015,70.59
6/4/2015,70.11
6/5/2015,69.81
6/8/2015,69.43
6/9/2015,68.85
6/10/2015,69.77
6/11/2015,69.79
6/12/2015,69.96
6/15/2015,69.3
6/16/2015,69.68
6/17/2015,70.07
6/18/2015,71.1
6/19/2015,70.74
6/22/2015,70.51
6/23/2015,70.75
6/24/2015,70.34
6/25/2015,69.23
6/26/2015,71.11
6/29/2015,68.77
6/30/2015,68.98
7/1/2015,69.45
7/2/2015,69.05
7/6/2015,68.72
7/7/2015,69.14
7/8/2015,68.09
7/9/2015,67.37
7/10/2015,67.92
7/13/2015,69.1
7/14/2015,68.8
7/15/2015,69.03
7/16/2015,69.46
7/17/2015,68.25
7/20/2015,67.93
7/21/2015,67.41
7/22/2015,67.63
7/23/2015,67.27
7/24/2015,65.8
7/27/2015,65.09
7/28/2015,65.3
7/29/2015,64.94
7/30/2015,65.23
7/31/2015,65.23
8/3/2015,64.37
8/4/2015,64.44
8/5/2015,64.06
8/6/2015,63.19
8/7/2015,63.3
8/10/2015,64
