Date,FIVE
3/3/2015,31.41
3/4/2015,30.96
3/5/2015,29.91
3/6/2015,29.1
3/9/2015,28.88
3/10/2015,28.58
3/11/2015,28.98
3/12/2015,30.69
3/13/2015,31.09
3/16/2015,30.6
3/17/2015,30.65
3/18/2015,30.42
3/19/2015,31.37
3/20/2015,31.86
3/23/2015,33.17
3/24/2015,32.69
3/25/2015,32.22
3/26/2015,35.55
3/27/2015,35.24
3/30/2015,35.49
3/31/2015,35.57
4/1/2015,36.3
4/2/2015,35.91
4/6/2015,36.65
4/7/2015,36.44
4/8/2015,36.95
4/9/2015,36.92
4/10/2015,36.28
4/13/2015,36.16
4/14/2015,36.31
4/15/2015,36.3
4/16/2015,36.28
4/17/2015,35.33
4/20/2015,35.24
4/21/2015,35.28
4/22/2015,35.27
4/23/2015,35.94
4/24/2015,36.04
4/27/2015,35
4/28/2015,34.82
4/29/2015,33.82
4/30/2015,33.72
5/1/2015,34.46
5/4/2015,34.52
5/5/2015,34.64
5/6/2015,34.34
5/7/2015,34.49
5/8/2015,34.37
5/11/2015,34.76
5/12/2015,34.31
5/13/2015,33.86
5/14/2015,34.21
5/15/2015,34.26
5/18/2015,34.78
5/19/2015,34.29
5/20/2015,33.76
5/21/2015,34.23
5/22/2015,34.71
5/26/2015,34.42
5/27/2015,34.64
5/28/2015,34.01
5/29/2015,33.25
6/1/2015,33.87
6/2/2015,34.26
6/3/2015,35.1
6/4/2015,37.77
6/5/2015,38.3
6/8/2015,38.68
6/9/2015,38.81
6/10/2015,39.12
6/11/2015,38.9
6/12/2015,39.03
6/15/2015,38.97
6/16/2015,39.27
6/17/2015,39
6/18/2015,39.62
6/19/2015,39.81
6/22/2015,39.88
6/23/2015,40.41
6/24/2015,39.78
6/25/2015,40.32
6/26/2015,40.69
6/29/2015,39.56
6/30/2015,39.53
7/1/2015,39.73
7/2/2015,39.42
7/6/2015,39.13
7/7/2015,38.92
7/8/2015,39.24
7/9/2015,39.51
7/10/2015,39.53
7/13/2015,39.51
7/14/2015,38.65
7/15/2015,38.44
7/16/2015,38.37
7/17/2015,38.47
7/20/2015,37.9
7/21/2015,37.34
7/22/2015,37.39
7/23/2015,37.42
7/24/2015,37.65
7/27/2015,36.27
7/28/2015,36.34
7/29/2015,36.66
7/30/2015,37.26
7/31/2015,36.87
8/3/2015,36.64
8/4/2015,37.24
8/5/2015,38.32
8/6/2015,36.85
8/7/2015,36.74
8/10/2015,37.53
8/11/2015,37.15
8/12/2015,37.01
8/13/2015,37.24
8/14/2015,38.41
8/17/2015,37.78
8/18/2015,37.74
8/19/2015,36.72
8/20/2015,36.02
8/21/2015,35.34
8/24/2015,34.63
8/25/2015,34.97
8/26/2015,36.16
8/27/2015,37.6
8/28/2015,38.5
8/31/2015,38.67
9/1/2015,37.47
9/2/2015,38.01
9/3/2015,34.49
9/4/2015,34.11
9/8/2015,34.36
9/9/2015,33.18
9/10/2015,32.79
9/11/2015,32.11
9/14/2015,31.75
9/15/2015,31.63
9/16/2015,32.68
9/17/2015,33.65
9/18/2015,33.24
9/21/2015,33.44
9/22/2015,33.55
9/23/2015,33.13
9/24/2015,33.5
9/25/2015,34.31
9/28/2015,34.3
9/29/2015,32.96
9/30/2015,33.58
10/1/2015,34.01
10/2/2015,34.9
10/5/2015,35.68
10/6/2015,34.75
10/7/2015,34.85
10/8/2015,35.29
10/9/2015,35.07
10/12/2015,34.71
10/13/2015,34.3
10/14/2015,33.61
10/15/2015,34.34
10/16/2015,34.92
10/19/2015,35.61
10/20/2015,35.8
10/21/2015,35.49
10/22/2015,35.87
10/23/2015,34.61
10/26/2015,34.99
10/27/2015,34.45
10/28/2015,32.57
10/29/2015,33.4
10/30/2015,34.34
11/2/2015,34.85
11/3/2015,34.86
11/4/2015,34.08
11/5/2015,34.4
11/6/2015,34.26
11/9/2015,33.5
11/10/2015,34.22
11/11/2015,31.89
11/12/2015,31.39
11/13/2015,29.08
11/16/2015,28.49
11/17/2015,27.5
11/18/2015,27.78
11/19/2015,27.52
11/20/2015,27.85
11/23/2015,27.88
11/24/2015,29.26
11/25/2015,29.29
11/27/2015,28.97
11/30/2015,28.01
12/1/2015,27.98
12/2/2015,27.68
12/3/2015,27.91
12/4/2015,29.43
12/7/2015,28.86
12/8/2015,28.9
12/9/2015,28.57
12/10/2015,29.56
12/11/2015,29.47
12/14/2015,29.7
12/15/2015,30.11
12/16/2015,31.13
12/17/2015,31.81
12/18/2015,32.02
12/21/2015,32.05
12/22/2015,32.66
12/23/2015,32.58
12/24/2015,32.31
12/28/2015,32.08
12/29/2015,32.36
12/30/2015,32.11
12/31/2015,32.1
1/4/2016,32.84
1/5/2016,34.25
1/6/2016,33.78
1/7/2016,33.72
1/8/2016,33.58
1/11/2016,33.88
1/12/2016,34.11
1/13/2016,34.36
1/14/2016,33.87
1/15/2016,33.21
1/19/2016,33.28
1/20/2016,33.09
1/21/2016,33.53
1/22/2016,33.96
1/25/2016,33.07
1/26/2016,34.37
1/27/2016,33.87
1/28/2016,34.16
1/29/2016,35.23
2/1/2016,35.83
2/2/2016,35.68
2/3/2016,35.68
2/4/2016,35.24
2/5/2016,34.21
2/8/2016,32.46
2/9/2016,32.55
2/10/2016,32.72
2/11/2016,33.24
2/12/2016,34.21
2/16/2016,35.91
2/17/2016,37.54
2/18/2016,37.08
2/19/2016,36.99
2/22/2016,37.77
2/23/2016,38.22
2/24/2016,37.96
2/25/2016,38.72
2/26/2016,38.73
2/29/2016,38.35
3/1/2016,37.6
3/2/2016,37.98
3/3/2016,37.7
3/4/2016,38.77
3/7/2016,39.06
3/8/2016,38.27
3/9/2016,38.11
3/10/2016,38.23
3/11/2016,39.3
3/14/2016,39.51
3/15/2016,39
3/16/2016,39.83
3/17/2016,39.71
3/18/2016,39.9
3/21/2016,39.52
3/22/2016,38.89
3/23/2016,41.54
3/24/2016,40.38
3/28/2016,41.15
3/29/2016,41.19
3/30/2016,40.8
3/31/2016,41.34
4/1/2016,41.36
4/4/2016,40.37
4/5/2016,40.05
4/6/2016,40.24
4/7/2016,39.46
4/8/2016,39.27
4/11/2016,38.65
4/12/2016,39.31
4/13/2016,40.67
4/14/2016,39.16
4/15/2016,39.83
4/18/2016,40.85
4/19/2016,40.67
4/20/2016,41.53
4/21/2016,41.04
4/22/2016,42.06
4/25/2016,41.19
4/26/2016,42.13
4/27/2016,43.38
4/28/2016,42.2
4/29/2016,41.7
5/2/2016,41.77
5/3/2016,40.87
5/4/2016,41.17
5/5/2016,39.66
5/6/2016,40.01
5/9/2016,40.33
5/10/2016,39.8
5/11/2016,38.49
5/12/2016,38.86
5/13/2016,38.21
5/16/2016,38.94
5/17/2016,38.39
5/18/2016,37.24
5/19/2016,38.76
5/20/2016,38.43
5/23/2016,37.46
5/24/2016,38.38
5/25/2016,39.31
5/26/2016,39.98
5/27/2016,41.66
5/31/2016,41.86
6/1/2016,42.68
6/2/2016,42.85
6/3/2016,43.74
6/6/2016,43.6
6/7/2016,44.72
6/8/2016,45.42
6/9/2016,45.14
6/10/2016,44.7
6/13/2016,43.99
6/14/2016,44.92
