Date,HUSA
3/3/2015,2.63
3/4/2015,2.63
3/5/2015,2.56
3/6/2015,2.88
3/9/2015,2.75
3/10/2015,2.52
3/11/2015,2.5
3/12/2015,2.75
3/13/2015,2.63
3/16/2015,2.63
3/17/2015,2.57
3/18/2015,2.5
3/19/2015,2.38
3/20/2015,2.38
3/23/2015,2.32
3/24/2015,2.32
3/25/2015,2.48
3/26/2015,2.56
3/27/2015,2.5
3/30/2015,2.5
3/31/2015,2.5
4/1/2015,2.5
4/2/2015,2.55
4/6/2015,2.45
4/7/2015,2.5
4/8/2015,2.25
4/9/2015,2.28
4/10/2015,2.26
4/13/2015,2.38
4/14/2015,2.63
4/15/2015,2.52
4/16/2015,2.38
4/17/2015,2.38
4/20/2015,2.51
4/21/2015,2.46
4/22/2015,2.5
4/23/2015,2.7
4/24/2015,2.38
4/27/2015,2.63
4/28/2015,2.88
4/29/2015,2.75
4/30/2015,2.63
5/1/2015,2.63
5/4/2015,2.64
5/5/2015,2.6
5/6/2015,2.6
5/7/2015,2.63
5/8/2015,2.56
5/11/2015,2.56
5/12/2015,2.5
5/13/2015,2.48
5/14/2015,2.48
5/15/2015,2.48
5/18/2015,2.5
5/19/2015,2.5
5/20/2015,2.57
5/21/2015,2.63
5/22/2015,2.73
5/26/2015,2.82
5/27/2015,2.73
5/28/2015,2.63
5/29/2015,2.5
6/1/2015,2.38
6/2/2015,2.44
6/3/2015,2.73
6/4/2015,2.63
6/5/2015,2.56
6/8/2015,2.38
6/9/2015,2.54
6/10/2015,2.42
6/11/2015,2.41
6/12/2015,2.5
6/15/2015,2.5
6/16/2015,2.5
6/17/2015,2.41
6/18/2015,2.56
6/19/2015,2.68
6/22/2015,2.41
6/23/2015,2.39
6/24/2015,2.48
6/25/2015,2.39
6/26/2015,2.38
6/29/2015,2.38
6/30/2015,2.5
7/1/2015,2.63
7/2/2015,2.5
7/6/2015,2.51
7/7/2015,2.5
7/8/2015,2.5
7/9/2015,2.5
7/10/2015,2.54
7/13/2015,2.56
7/14/2015,2.56
7/15/2015,2.56
7/16/2015,2.51
7/17/2015,2.62
7/20/2015,2.52
7/21/2015,2.61
7/22/2015,2.61
7/23/2015,2.63
7/24/2015,2.51
7/27/2015,2.51
7/28/2015,2.56
7/29/2015,2.88
7/30/2015,2.69
7/31/2015,2.72
8/3/2015,2.63
8/4/2015,2.51
8/5/2015,2.52
8/6/2015,2.51
8/7/2015,2.51
8/10/2015,2.62
8/11/2015,2.62
8/12/2015,2.75
8/13/2015,2.54
8/14/2015,2.58
8/17/2015,2.5
8/18/2015,2.5
8/19/2015,2.38
8/20/2015,2.38
8/21/2015,2.31
8/24/2015,2.25
8/25/2015,2.25
8/26/2015,2.3
8/27/2015,2.5
8/28/2015,2.25
8/31/2015,2.26
9/1/2015,2.31
9/2/2015,2.25
9/3/2015,2.28
9/4/2015,2.17
9/8/2015,2.24
9/9/2015,2.01
9/10/2015,2.13
9/11/2015,2.19
9/14/2015,2.1
9/15/2015,2.25
9/16/2015,2.12
9/17/2015,2.12
9/18/2015,2.25
9/21/2015,2.25
9/22/2015,2.5
9/23/2015,2.25
9/24/2015,2.25
9/25/2015,2.25
9/28/2015,2.14
9/29/2015,2.21
9/30/2015,2.21
10/1/2015,2.25
10/2/2015,2.25
10/5/2015,2.19
10/6/2015,2.33
10/7/2015,2.14
10/8/2015,2.25
10/9/2015,2.25
10/12/2015,2.37
10/13/2015,2.19
10/14/2015,2.14
10/15/2015,2.19
10/16/2015,2.25
10/19/2015,2.09
10/20/2015,2.25
10/21/2015,2.35
10/22/2015,2.19
10/23/2015,2.5
10/26/2015,2.25
10/27/2015,2.38
10/28/2015,2.25
10/29/2015,2.25
10/30/2015,2.13
11/2/2015,2.13
11/3/2015,2.12
11/4/2015,2.24
11/5/2015,2.14
11/6/2015,2.13
11/9/2015,2.13
11/10/2015,2.13
11/11/2015,2.13
11/12/2015,2.1
11/13/2015,2.25
11/16/2015,2.34
11/17/2015,2.25
11/18/2015,2.5
11/19/2015,2.38
11/20/2015,2.38
11/23/2015,2.31
11/24/2015,2.25
11/25/2015,2.25
11/27/2015,2.38
11/30/2015,2.19
12/1/2015,2.25
12/2/2015,2.32
12/3/2015,2.41
12/4/2015,2.38
12/7/2015,2.38
12/8/2015,2.26
12/9/2015,2.38
12/10/2015,2.38
12/11/2015,2.26
12/14/2015,2.31
12/15/2015,2.37
12/16/2015,2.25
12/17/2015,2.31
12/18/2015,2.25
12/21/2015,2.31
12/22/2015,2.31
12/23/2015,2.26
12/24/2015,2.25
12/28/2015,2.25
12/29/2015,2.25
12/30/2015,2.05
12/31/2015,2.14
1/4/2016,2
1/5/2016,2.19
1/6/2016,2.19
1/7/2016,2.18
1/8/2016,2.18
1/11/2016,2.06
1/12/2016,2
1/13/2016,2.03
1/14/2016,2.19
1/15/2016,2.13
1/19/2016,2.21
1/20/2016,2.26
1/21/2016,2.13
1/22/2016,2.21
1/25/2016,2.16
1/26/2016,2.27
1/27/2016,2.34
1/28/2016,2.23
1/29/2016,2.19
2/1/2016,2.38
2/2/2016,2.14
