Date,TRIP
3/3/2015,90.47
3/4/2015,89.24
3/5/2015,87.98
3/6/2015,85.7
3/9/2015,86.01
3/10/2015,84.17
3/11/2015,83.22
3/12/2015,84.15
3/13/2015,82.52
3/16/2015,83.17
3/17/2015,83.4
3/18/2015,84.31
3/19/2015,83.8
3/20/2015,86.35
3/23/2015,86.51
3/24/2015,85.38
3/25/2015,84.18
3/26/2015,83.62
3/27/2015,83.79
3/30/2015,83.61
3/31/2015,83.17
4/1/2015,82.34
4/2/2015,82.51
4/6/2015,83.4
4/7/2015,82.83
4/8/2015,83.05
4/9/2015,83.18
4/10/2015,82.93
4/13/2015,83.52
4/14/2015,83.27
4/15/2015,83.09
4/16/2015,82.6
4/17/2015,80.71
4/20/2015,80.97
4/21/2015,81.28
4/22/2015,82.72
4/23/2015,82.79
4/24/2015,81.57
4/27/2015,81.69
4/28/2015,81.56
4/29/2015,81.7
4/30/2015,80.49
5/1/2015,80.82
5/4/2015,79.91
5/5/2015,77.72
5/6/2015,76.8
5/7/2015,78.47
5/8/2015,81.93
5/11/2015,81.63
5/12/2015,80.82
5/13/2015,81.15
5/14/2015,82.16
5/15/2015,81.83
5/18/2015,81.49
5/19/2015,80.65
5/20/2015,79.77
5/21/2015,79.3
5/22/2015,80.27
5/26/2015,77.77
5/27/2015,78.5
5/28/2015,76.8
5/29/2015,76.26
6/1/2015,76.51
6/2/2015,76.32
6/3/2015,75.07
6/4/2015,75.12
6/5/2015,76.41
6/8/2015,75.49
6/9/2015,75.21
6/10/2015,76.47
6/11/2015,76.26
6/12/2015,76.1
6/15/2015,75.83
6/16/2015,76.45
6/17/2015,87.65
6/18/2015,90.67
6/19/2015,90.94
6/22/2015,90.74
6/23/2015,90.24
6/24/2015,88.98
6/25/2015,88.16
6/26/2015,88.84
6/29/2015,85.77
6/30/2015,87.14
7/1/2015,86.9
7/2/2015,86.87
7/6/2015,86.89
7/7/2015,86.83
7/8/2015,85.58
7/9/2015,85.96
7/10/2015,88.44
7/13/2015,90.3
7/14/2015,89.68
7/15/2015,90.38
7/16/2015,91.11
7/17/2015,92.18
7/20/2015,91.99
7/21/2015,92.55
7/22/2015,91.75
7/23/2015,93.37
7/24/2015,80.86
7/27/2015,80.6
7/28/2015,79.34
7/29/2015,79.71
7/30/2015,78.69
7/31/2015,79.38
8/3/2015,78.85
8/4/2015,78.4
8/5/2015,77.96
8/6/2015,76.12
8/7/2015,74.32
8/10/2015,75.31
8/11/2015,74.67
8/12/2015,73.5
8/13/2015,71.7
8/14/2015,72.49
8/17/2015,73.5
8/18/2015,72.26
8/19/2015,71.75
8/20/2015,70.38
8/21/2015,69.51
8/24/2015,66.27
8/25/2015,66.54
8/26/2015,68.38
8/27/2015,70.34
8/28/2015,70.6
8/31/2015,69.9
9/1/2015,68.19
9/2/2015,69.73
9/3/2015,69.47
9/4/2015,67.21
9/8/2015,67.6
9/9/2015,66.92
9/10/2015,67.49
9/11/2015,66.92
9/14/2015,67.79
9/15/2015,70.06
9/16/2015,69.9
9/17/2015,69.89
9/18/2015,68.64
9/21/2015,68.38
9/22/2015,67.2
9/23/2015,65.69
9/24/2015,65.46
9/25/2015,64.89
9/28/2015,62.88
9/29/2015,63.42
9/30/2015,63.02
10/1/2015,64.13
10/2/2015,66.36
10/5/2015,67.24
10/6/2015,66.84
10/7/2015,67.73
10/8/2015,69.58
10/9/2015,67.98
10/12/2015,67.48
10/13/2015,66.69
10/14/2015,83.72
10/15/2015,83.36
10/16/2015,83.2
10/19/2015,84.14
10/20/2015,84.25
10/21/2015,82.17
10/22/2015,83.56
10/23/2015,82.9
10/26/2015,83.65
10/27/2015,81.76
10/28/2015,81.3
10/29/2015,80.93
10/30/2015,83.78
11/2/2015,83.16
11/3/2015,82.25
11/4/2015,82.62
11/5/2015,83.11
11/6/2015,77.42
11/9/2015,77.12
11/10/2015,78.35
11/11/2015,79.74
11/12/2015,79.15
11/13/2015,77.95
11/16/2015,78.55
11/17/2015,78.12
11/18/2015,83.68
11/19/2015,84.55
11/20/2015,84.98
11/23/2015,84.8
11/24/2015,82.98
11/25/2015,82.77
11/27/2015,82.79
11/30/2015,82.37
12/1/2015,82.93
12/2/2015,82.92
12/3/2015,83.14
12/4/2015,84.37
12/7/2015,83.07
12/8/2015,83.2
12/9/2015,82.41
12/10/2015,83.52
12/11/2015,82.48
12/14/2015,83.8
12/15/2015,85.91
12/16/2015,86.88
12/17/2015,85.38
12/18/2015,84.35
12/21/2015,84.12
12/22/2015,84.4
12/23/2015,84.88
12/24/2015,85.45
12/28/2015,85.2
12/29/2015,86.51
12/30/2015,86.15
12/31/2015,85.25
1/4/2016,82.98
1/5/2016,81.93
1/6/2016,80.1
1/7/2016,77.69
1/8/2016,76.18
1/11/2016,76.95
1/12/2016,77.36
1/13/2016,72.94
1/14/2016,71.92
1/15/2016,70.63
1/19/2016,71.19
1/20/2016,69.26
1/21/2016,69.51
1/22/2016,70.65
1/25/2016,69.49
1/26/2016,69.69
1/27/2016,67.54
1/28/2016,67.32
1/29/2016,66.76
2/1/2016,67.19
2/2/2016,63
2/3/2016,62.77
2/4/2016,63.81
2/5/2016,58.37
2/8/2016,55.88
2/9/2016,54.09
2/10/2016,54.35
2/11/2016,61.07
2/12/2016,59.9
2/16/2016,63.32
2/17/2016,65.35
2/18/2016,63.07
2/19/2016,63.42
2/22/2016,63.11
2/23/2016,60.7
2/24/2016,60.66
2/25/2016,62.05
2/26/2016,62.38
2/29/2016,62.6
3/1/2016,66.1
3/2/2016,65.32
3/3/2016,65.57
3/4/2016,65.1
3/7/2016,65.5
3/8/2016,62.57
3/9/2016,60.98
3/10/2016,61.02
3/11/2016,63.7
3/14/2016,66.54
3/15/2016,66.8
3/16/2016,67.48
3/17/2016,65.31
3/18/2016,64.31
3/21/2016,65.71
3/22/2016,64.04
3/23/2016,61.74
3/24/2016,62.23
3/28/2016,62.51
3/29/2016,65.58
3/30/2016,66.58
3/31/2016,66.5
4/1/2016,67.23
4/4/2016,65.09
4/5/2016,63.96
4/6/2016,65.53
4/7/2016,63.35
4/8/2016,62.24
4/11/2016,60.59
4/12/2016,61.44
4/13/2016,63.79
4/14/2016,63.51
4/15/2016,63
4/18/2016,65.44
4/19/2016,64.54
4/20/2016,64.39
4/21/2016,63.81
4/22/2016,63.34
4/25/2016,62.55
4/26/2016,62.5
4/27/2016,63.69
4/28/2016,63.6
4/29/2016,64.59
5/2/2016,64.89
5/3/2016,65.83
5/4/2016,63.13
5/5/2016,62.04
5/6/2016,62.07
5/9/2016,63.09
5/10/2016,66.1
5/11/2016,65.67
5/12/2016,63.78
5/13/2016,64.46
5/16/2016,64.9
5/17/2016,65.79
5/18/2016,64.17
5/19/2016,63.25
5/20/2016,64.53
5/23/2016,66.87
5/24/2016,66.07
5/25/2016,66.9
5/26/2016,66.6
5/27/2016,67.32
5/31/2016,67.74
6/1/2016,67.06
6/2/2016,68.63
6/3/2016,68.16
6/6/2016,71.46
6/7/2016,68.63
6/8/2016,69.24
6/9/2016,69.47
6/10/2016,67.22
6/13/2016,66.11
6/14/2016,65.07
6/15/2016,64.84
6/16/2016,64.39
6/17/2016,63.08
6/20/2016,64.66
6/21/2016,64.51
6/22/2016,64.74
6/23/2016,65.98
6/24/2016,61.87
6/27/2016,60.03
6/28/2016,61.15
6/29/2016,63.89
6/30/2016,64.3
7/1/2016,64.61
7/5/2016,64.3
7/6/2016,64.98
7/7/2016,65.61
7/8/2016,67.13
7/11/2016,68.2
7/12/2016,69.72
7/13/2016,68.59
7/14/2016,68.53
7/15/2016,68.26
7/18/2016,68.74
7/19/2016,68.55
7/20/2016,69.29
7/21/2016,68.69
7/22/2016,70.09
7/25/2016,70.06
7/26/2016,69.94
7/27/2016,69.85
7/28/2016,71.23
7/29/2016,69.97
8/1/2016,70.45
8/2/2016,69.41
8/3/2016,69.49
8/4/2016,63.59
8/5/2016,60.81
8/8/2016,61.84
8/9/2016,61.1
8/10/2016,61.25
8/11/2016,61.59
8/12/2016,61.7
8/15/2016,62.13
8/16/2016,62
8/17/2016,62.05
8/18/2016,62.23
8/19/2016,62
8/22/2016,61.8
8/23/2016,62.64
8/24/2016,61.93
8/25/2016,61.9
8/26/2016,62.37
8/29/2016,61.94
8/30/2016,61.25
8/31/2016,61
9/1/2016,61.32
9/2/2016,61.2
9/6/2016,61.52
9/7/2016,62.16
9/8/2016,61.8
9/9/2016,61.72
9/12/2016,63.61
9/13/2016,63.04
9/14/2016,61.81
9/15/2016,61.82
9/16/2016,61.29
9/19/2016,60
9/20/2016,60.25
9/21/2016,60.54
9/22/2016,61.36
9/23/2016,61.87
9/26/2016,61.89
9/27/2016,64.26
9/28/2016,64.08
9/29/2016,63
9/30/2016,63.18
10/3/2016,63.35
10/4/2016,64.42
10/5/2016,65.87
10/6/2016,64.84
10/7/2016,64
10/10/2016,64.6
10/11/2016,63.43
10/12/2016,62.99
10/13/2016,62.24
10/14/2016,61.31
10/17/2016,61.46
10/18/2016,63.19
10/19/2016,63.87
10/20/2016,62.03
10/21/2016,62.96
10/24/2016,63.83
10/25/2016,63.53
10/26/2016,61.75
10/27/2016,61.85
10/28/2016,64.34
10/31/2016,64.48
11/1/2016,63.47
11/2/2016,61.63
11/3/2016,62.74
11/4/2016,63.64
11/7/2016,63.43
11/8/2016,63.1
11/9/2016,52.63
11/10/2016,51.83
11/11/2016,51.01
11/14/2016,48.8
11/15/2016,50.02
11/16/2016,50.4
11/17/2016,50.97
11/18/2016,50.79
11/21/2016,51.68
11/22/2016,51.34
11/23/2016,50.79
11/25/2016,51.17
11/28/2016,50.18
11/29/2016,49.3
11/30/2016,48.28
12/1/2016,47.16
12/2/2016,46.46
12/5/2016,47.98
12/6/2016,48.17
12/7/2016,47.6
12/8/2016,48.06
12/9/2016,49.23
12/12/2016,48.71
12/13/2016,49.03
12/14/2016,47.62
12/15/2016,47.38
12/16/2016,47.37
12/19/2016,46.45
12/20/2016,48.79
12/21/2016,46.28
12/22/2016,46.39
12/23/2016,46.54
12/27/2016,47.29
12/28/2016,46.85
12/29/2016,46.95
12/30/2016,46.37
1/3/2017,47.51
1/4/2017,48.86
1/5/2017,49.2
1/6/2017,50.77
